x,y
0,1.0
1,1.0
2,1.0
3,0.48322147651006714
4,0.2348993288590604
5,0.174496644295302
6,0.10738255033557047
7,0.09731543624161074
8,0.08389261744966443
9,0.08053691275167785
10,0.0738255033557047
11,0.07046979865771812
12,0.05704697986577181
13,0.053691275167785234
14,0.053691275167785234
15,0.050335570469798654
16,0.050335570469798654
17,0.04697986577181208
18,0.040268456375838924
19,0.040268456375838924
20,0.030201342281879196
21,0.030201342281879196
22,0.026845637583892617
23,0.026845637583892617
24,0.026845637583892617
25,0.026845637583892617
26,0.026845637583892617
27,0.026845637583892617
28,0.026845637583892617
29,0.026845637583892617
30,0.026845637583892617
31,0.026845637583892617
32,0.026845637583892617
33,0.026845637583892617
34,0.026845637583892617
35,0.026845637583892617
36,0.026845637583892617
37,0.026845637583892617
38,0.02348993288590604
39,0.02348993288590604
40,0.020134228187919462
41,0.020134228187919462
42,0.020134228187919462
43,0.020134228187919462
44,0.020134228187919462
45,0.020134228187919462
46,0.020134228187919462
47,0.020134228187919462
48,0.020134228187919462
49,0.020134228187919462
50,0.020134228187919462
51,0.020134228187919462
52,0.020134228187919462
53,0.020134228187919462
54,0.020134228187919462
55,0.020134228187919462
56,0.016778523489932886
57,0.016778523489932886
58,0.016778523489932886
59,0.013422818791946308
60,0.013422818791946308
61,0.013422818791946308
62,0.013422818791946308
63,0.013422818791946308
64,0.013422818791946308
65,0.013422818791946308
66,0.013422818791946308
67,0.013422818791946308
68,0.010067114093959731
69,0.010067114093959731
70,0.010067114093959731
71,0.010067114093959731
72,0.006711409395973154
73,0.006711409395973154
74,0.006711409395973154
75,0.006711409395973154
76,0.006711409395973154
77,0.006711409395973154
78,0.006711409395973154
79,0.006711409395973154
80,0.006711409395973154
81,0.006711409395973154
82,0.006711409395973154
83,0.006711409395973154
84,0.006711409395973154
85,0.006711409395973154
86,0.006711409395973154
87,0.006711409395973154
88,0.003355704697986577
89,0.0
