x,y
3,0.48322147651006714
4,0.2348993288590604
5,0.174496644295302
6,0.10738255033557047
7,0.09731543624161074
8,0.08389261744966443
9,0.08053691275167785
10,0.0738255033557047
11,0.07046979865771812
12,0.05704697986577181
13,0.053691275167785234
15,0.050335570469798654
17,0.04697986577181208
18,0.040268456375838924
20,0.030201342281879196
22,0.026845637583892617
38,0.02348993288590604
40,0.020134228187919462
56,0.016778523489932886
59,0.013422818791946308
68,0.010067114093959731
72,0.006711409395973154
88,0.003355704697986577
89,0.0
