x,y
3,154
4,228
5,246
6,266
7,269
8,273
9,274
10,276
11,277
12,281
13,282
15,283
17,284
18,286
20,289
22,290
38,291
40,292
56,293
59,294
68,295
72,296
88,297
89,298
