qid,self_confidence,perceived_confidence,flipped
0.0,0.7622221373387454,0.17007474250445037,1.0
0.0,0.7622221373387454,0.06256700122991415,0.0
0.0,0.7622221373387454,0.0051358122098589774,0.0
1.0,0.7359829931871424,0.16422000803050538,1.0
1.0,0.7359829931871424,0.099604457934979,1.0
1.0,0.7359829931871424,0.00019228188365086712,1.0
2.0,0.9806658917404152,0.013988445373477562,0.0
2.0,0.9806658917404152,0.0031212440564116106,0.0
2.0,0.9806658917404152,0.0021451975764617444,0.0
3.0,0.9995694234965996,0.0004305571096741222,0.0
3.0,0.9995694234965996,4.9423196025007356e-09,0.0
3.0,0.9995694234965996,1.4159982737326087e-09,0.0
4.0,0.985593783206785,0.014058738652450848,0.0
4.0,0.985593783206785,0.000330629842684391,1.0
4.0,0.985593783206785,8.810986860000238e-06,0.0
5.0,0.7767314810871878,0.17331223009752492,1.0
5.0,0.7767314810871878,0.0496547852774779,1.0
5.0,0.7767314810871878,0.0002952580756538149,1.0
6.0,0.9966201980715319,0.002470374442141051,0.0
6.0,0.9966201980715319,0.0009087999692590635,0.0
6.0,0.9966201980715319,2.3743176884442275e-07,0.0
7.0,0.9998757304224845,0.0001233945049762016,0.0
7.0,0.9998757304224845,6.475149352204967e-07,0.0
7.0,0.9998757304224845,5.315126256652839e-08,0.0
8.0,0.9988833890576835,0.0007093814041478262,0.0
8.0,0.9988833890576835,0.0003797045037489726,0.0
8.0,0.9988833890576835,2.7505688880648955e-05,0.0
9.0,0.9980702516341702,0.0019267287403159615,1.0
9.0,0.9980702516341702,2.896720883691149e-06,1.0
9.0,0.9980702516341702,7.719492316688842e-08,1.0
10.0,0.9998857350096177,9.610065358505517e-05,1.0
10.0,0.9998857350096177,1.6699789541640194e-05,1.0
10.0,0.9998857350096177,1.3708022015449347e-06,1.0
11.0,0.4765665622172285,0.4765665622172285,1.0
11.0,0.4765665622172285,0.039118960940453563,1.0
11.0,0.4765665622172285,0.007702980131032145,1.0
12.0,0.6789086124543436,0.3206937113338263,1.0
12.0,0.6789086124543436,0.0003754938206413574,0.0
12.0,0.6789086124543436,1.8694727605638792e-05,0.0
13.0,1.0,1.3440409951135022e-08,0.0
13.0,1.0,4.363462252943702e-09,0.0
13.0,1.0,4.363462252943702e-09,0.0
14.0,0.731055070718701,0.26894012286650465,0.0
14.0,0.731055070718701,4.491756391689961e-06,0.0
14.0,0.731055070718701,1.973540024341978e-07,0.0
15.0,0.9404459136788917,0.03646504571900769,1.0
15.0,0.9404459136788917,0.022117168236401072,1.0
15.0,0.9404459136788917,0.0009717603210547462,0.0
16.0,0.9113954435269482,0.04537570522858372,0.0
16.0,0.9113954435269482,0.035338634764438236,1.0
16.0,0.9113954435269482,0.007885117114374169,1.0
17.0,0.5484952937234916,0.42716856426283545,1.0
17.0,0.5484952937234916,0.024099199876656114,1.0
17.0,0.5484952937234916,0.00023626029855889445,1.0
18.0,0.9076792460579196,0.058025992429872324,1.0
18.0,0.9076792460579196,0.021346569668519774,1.0
18.0,0.9076792460579196,0.012947348983648988,1.0
19.0,0.9999737011314523,2.1444835670051597e-05,0.0
19.0,0.9999737011314523,4.784989617415373e-06,0.0
19.0,0.9999737011314523,4.139827171997462e-08,0.0
20.0,0.4516237302848031,0.27392363907152206,1.0
20.0,0.4516237302848031,0.21333194461067026,1.0
20.0,0.4516237302848031,0.061120625454469404,1.0
21.0,0.9999996871837232,1.4449802461092448e-07,1.0
21.0,0.9999996871837232,1.1253517471925912e-07,0.0
21.0,0.9999996871837232,6.34880011604368e-09,0.0
22.0,0.9961373397414607,0.0019229976962464527,1.0
22.0,0.9961373397414607,0.0019229976962464527,1.0
22.0,0.9961373397414607,1.6637189944227464e-05,1.0
23.0,0.8580027191101774,0.07042915726484127,1.0
23.0,0.8580027191101774,0.07042915726484127,1.0
23.0,0.8580027191101774,0.001138381030888125,0.0
24.0,0.9831621685158108,0.010921945940321295,1.0
24.0,0.9831621685158108,0.004017959369030101,1.0
24.0,0.9831621685158108,0.0018979496162022116,1.0
25.0,0.8192622347650997,0.08634960297035221,1.0
25.0,0.8192622347650997,0.08634960297035221,1.0
25.0,0.8192622347650997,0.008031766128752942,1.0
26.0,0.9999770387510999,1.6701318523026363e-05,0.0
26.0,0.9999770387510999,4.785007870736998e-06,0.0
26.0,0.9999770387510999,1.3709277079799143e-06,0.0
27.0,0.9133832370902852,0.07497505840800192,1.0
27.0,0.9133832370902852,0.007902314901742355,1.0
27.0,0.9133832370902852,0.0037327892488099867,1.0
28.0,0.9489765730148801,0.028656606658519383,1.0
28.0,0.9489765730148801,0.02231778770582413,1.0
28.0,0.9489765730148801,4.881997402356892e-05,0.0
29.0,0.994343027618045,0.003164776216189294,0.0
29.0,0.994343027618045,0.0024647301954139797,0.0
29.0,0.994343027618045,2.7380666152433036e-05,0.0
30.0,0.5279254156962201,0.24937430871679064,1.0
30.0,0.5279254156962201,0.15125316398137695,0.0
30.0,0.5279254156962201,0.07144694417819339,1.0
31.0,0.8211050079376735,0.1259205387739354,0.0
31.0,0.8211050079376735,0.028096669982604773,0.0
31.0,0.8211050079376735,0.02479522423259029,1.0
32.0,0.43819359811116276,0.34126551734585003,1.0
32.0,0.43819359811116276,0.16120241599803814,1.0
